mode,seed,n_cal,n_test,test_accuracy,hpre_layer,hpre_sign,hpre_cal_auc,logit_layer,logit_sign,logit_cal_auc,hnorm_layer,hnorm_sign,hnorm_cal_auc,logit_base_auroc,logit_plus_hpre_auroc,logit_delta,full_base_auroc,full_plus_hpre_auroc,full_delta
fixed_seed42_layers,49,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7393142097264439,0.7325227963525835,-0.0067914133738603555,0.7308130699088147,0.7396941489361702,0.008881079027355576
dynamic_cal_selected_layers,50,700,300,0.6266666666666667,0,-1,0.6850339067368365,14,1,0.7193901151170808,13,1,0.6999450161024272,0.7342800151975684,0.736797112462006,0.0025170972644376066,0.7369395896656535,0.7374620060790275,0.0005224164133739162
fixed_seed42_layers,50,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7369870820668692,0.7466755319148936,0.009688449848024305,0.7418313069908815,0.7454407294832827,0.0036094224924011487
dynamic_cal_selected_layers,51,700,300,0.6266666666666667,0,-1,0.6819748819591722,13,1,0.7184388064130426,13,1,0.6935651384634184,0.7353723404255318,0.7369870820668694,0.0016147416413375693,0.7333301671732523,0.7400740881458967,0.006743920972644424
fixed_seed42_layers,51,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7353723404255318,0.7366071428571428,0.001234802431611004,0.7333301671732523,0.7467705167173252,0.013440349544072916
dynamic_cal_selected_layers,52,700,300,0.6266666666666667,0,-1,0.6905017498843593,14,1,0.7213974637586295,13,1,0.7041604482496793,0.7286759118541034,0.7293882978723405,0.0007123860182370878,0.7237367021276597,0.7280585106382979,0.004321808510638125
fixed_seed42_layers,52,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.72995820668693,0.7372720364741642,0.007313829787234161,0.7266812310030395,0.7428761398176291,0.016194908814589626
dynamic_cal_selected_layers,53,700,300,0.6266666666666667,30,-1,0.6804562790738268,14,1,0.7143979263215773,14,1,0.6965674338229518,0.7486227203647416,0.7499525075987842,0.0013297872340425343,0.7479578267477205,0.7530870060790273,0.0051291793313068546
fixed_seed42_layers,53,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7537518996960487,0.7618256079027356,0.008073708206686847,0.7532294832826747,0.7683795592705167,0.015150075987842015
dynamic_cal_selected_layers,54,700,300,0.6266666666666667,0,-1,0.6742378620864207,13,1,0.7163790921547579,13,1,0.6908683092015117,0.7399316109422492,0.7378419452887538,-0.0020896656534954428,0.7277260638297873,0.7324753039513678,0.004749240121580511
fixed_seed42_layers,54,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7399316109422492,0.7380794072948328,-0.0018522036474164505,0.7277260638297873,0.7411189209726444,0.013392857142857095
dynamic_cal_selected_layers,55,700,300,0.6266666666666667,30,-1,0.672217422040688,14,1,0.7231429843164978,14,1,0.6933818588048422,0.7246390577507599,0.7189399696048634,-0.00569908814589648,0.7205547112462006,0.7244015957446809,0.003846884498480252
fixed_seed42_layers,55,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7275835866261398,0.7217420212765957,-0.005841565349544053,0.7207446808510638,0.7317154255319148,0.010970744680851019
dynamic_cal_selected_layers,56,700,300,0.6266666666666667,0,-1,0.6884856736400213,13,1,0.7270616779689123,13,1,0.7053124918178724,0.7138107902735562,0.7180851063829787,0.004274316109422527,0.7122435410334347,0.7171352583586627,0.004891717325227973
fixed_seed42_layers,56,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7138107902735562,0.7191299392097263,0.005319148936170137,0.7122435410334347,0.7241641337386019,0.01192059270516721
dynamic_cal_selected_layers,57,700,300,0.6266666666666667,0,-1,0.6996526414089841,13,1,0.7350736173295281,13,1,0.7136735352900619,0.6962860942249239,0.7030300151975684,0.006743920972644424,0.6944338905775075,0.7031724924012157,0.008738601823708225
fixed_seed42_layers,57,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.6962860942249239,0.7044072948328268,0.00812120060790289,0.6944338905775075,0.7114836626139819,0.017049772036474398
dynamic_cal_selected_layers,58,700,300,0.6266666666666667,0,-1,0.691195594306112,13,1,0.735326717810419,13,1,0.7095104687595458,0.6954787234042553,0.6915843465045592,-0.0038943768996960726,0.691394376899696,0.6929141337386018,0.001519756838905817
fixed_seed42_layers,58,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.6954787234042553,0.6947663373860182,-0.0007123860182370878,0.691394376899696,0.7030775075987841,0.011683130699088107
dynamic_cal_selected_layers,59,700,300,0.6266666666666667,0,-1,0.6700878869600887,14,1,0.717199486816956,14,1,0.6899955489225774,0.7387443009118541,0.7375569908814591,-0.0011873100303949613,0.7403115501519757,0.7389817629179332,-0.0013297872340425343
